Place,Bib-Name,Gr,Team,Comb,,Freestyle,,Classical,
,,,,Time,,,,,
,,,,,,Rank,Time,Rank,Time
107),1110-Mark Droessler,11,Spring Lake,35:55.200,110,17:25.000,101,18:30.200
,,,Park,,,,,
108),1108-Joel Nathe,10,Park Center,35:58.100,108,16:48.000,110,19:10.100
109),1109-Cedric Leuenberger,12,Spring Lake,36:07.400,109,16:56.000,111,19:11.400
,,,Park,,,,,
110),1107-Trenton Vassar,10,Osseo,36:22.000,107,16:45.000,112,19:37.000
111),1113-Gabriel Benton,10,Osseo,36:37.500,113,17:49.000,104,18:48.500
112),1111-Gavin Schuster,11,Spring Lake,36:38.900,111,17:29.000,109,19:09.900
,,,Park,,,,,
113),1114-Ethan McNiesh,10,Park Center,37:36.000,114,17:50.000,113,19:46.000
114),1112-Nick Braaten,10,Park Center,38:17.000,112,17:35.000,114,20:42.000
115),1115-Joylus Harris,10,Park Center,45:52.200,115,22:28.000,115,23:24.200
http://www.gopherstateevents.com/results/cc_rslts/cc_rslts.asp?sport=Nordic%20Ski&meet_id=457&rslts_page=overall_rslts.asp&show_indiv=n,,,,,,,,6/9
1/31/2018,Gopher State Events Cross-Country Results,,
Gopher State Events,,,
About GSE,Testimonials,Get In Touch,Value Adds
,     ,,
"© Copyright 2017 Gopher State Events, LLC - All Rights Reserved",,,
http://www.gopherstateevents.com/results/cc_rslts/cc_rslts.asp?sport=Nordic%20Ski&meet_id=457&rslts_page=overall_rslts.asp&show_indiv=n,,,7/9
1/31/2018,Gopher State Events Cross-Country Results
http://www.gopherstateevents.com/results/cc_rslts/cc_rslts.asp?sport=Nordic%20Ski&meet_id=457&rslts_page=overall_rslts.asp&show_indiv=n,8/9
1/31/2018,Gopher State Events Cross-Country Results
http://www.gopherstateevents.com/results/cc_rslts/cc_rslts.asp?sport=Nordic%20Ski&meet_id=457&rslts_page=overall_rslts.asp&show_indiv=n,9/9
